path,work,chap,page
jujutsu-kaisen/101/12.png,jujutsu-kaisen,101,12
jujutsu-kaisen/101/13.png,jujutsu-kaisen,101,13
jujutsu-kaisen/101/14.png,jujutsu-kaisen,101,14
jujutsu-kaisen/101/15.png,jujutsu-kaisen,101,15
jujutsu-kaisen/101/16.png,jujutsu-kaisen,101,16
jujutsu-kaisen/101/17.png,jujutsu-kaisen,101,17
dr-stone/102/1.png,dr-stone,102,1
dr-stone/102/2.png,dr-stone,102,2
dr-stone/102/3.png,dr-stone,102,3
dr-stone/102/4.png,dr-stone,102,4
dr-stone/102/5.png,dr-stone,102,5
dr-stone/102/6.png,dr-stone,102,6
dr-stone/102/7.png,dr-stone,102,7
dr-stone/102/8.png,dr-stone,102,8
dr-stone/102/9.png,dr-stone,102,9
dr-stone/102/10.png,dr-stone,102,10
dr-stone/102/11.png,dr-stone,102,11
dr-stone/102/12.png,dr-stone,102,12
dr-stone/102/13.png,dr-stone,102,13
dr-stone/102/14.png,dr-stone,102,14
dr-stone/102/15.png,dr-stone,102,15
dr-stone/102/16.png,dr-stone,102,16
dr-stone/102/17.png,dr-stone,102,17
jujutsu-kaisen/102/1.png,jujutsu-kaisen,102,1
jujutsu-kaisen/102/2.png,jujutsu-kaisen,102,2
jujutsu-kaisen/102/3.png,jujutsu-kaisen,102,3
jujutsu-kaisen/102/4.png,jujutsu-kaisen,102,4
jujutsu-kaisen/102/5.png,jujutsu-kaisen,102,5
jujutsu-kaisen/102/6.png,jujutsu-kaisen,102,6
jujutsu-kaisen/102/7.png,jujutsu-kaisen,102,7
jujutsu-kaisen/102/8.png,jujutsu-kaisen,102,8
jujutsu-kaisen/102/9.png,jujutsu-kaisen,102,9
jujutsu-kaisen/102/10.png,jujutsu-kaisen,102,10
jujutsu-kaisen/102/11.png,jujutsu-kaisen,102,11
jujutsu-kaisen/102/12.png,jujutsu-kaisen,102,12
jujutsu-kaisen/102/13.png,jujutsu-kaisen,102,13
jujutsu-kaisen/102/14.png,jujutsu-kaisen,102,14
jujutsu-kaisen/102/15.png,jujutsu-kaisen,102,15
jujutsu-kaisen/102/16.png,jujutsu-kaisen,102,16
jujutsu-kaisen/102/17.png,jujutsu-kaisen,102,17
jujutsu-kaisen/102/18.png,jujutsu-kaisen,102,18
jujutsu-kaisen/102/19.png,jujutsu-kaisen,102,19
jujutsu-kaisen/102/20.png,jujutsu-kaisen,102,20
jujutsu-kaisen/102/21.png,jujutsu-kaisen,102,21
dr-stone/103/1.png,dr-stone,103,1
dr-stone/103/2.png,dr-stone,103,2
dr-stone/103/3.png,dr-stone,103,3
dr-stone/103/4.png,dr-stone,103,4
dr-stone/103/5.png,dr-stone,103,5
dr-stone/103/6.png,dr-stone,103,6
dr-stone/103/7.png,dr-stone,103,7
dr-stone/103/8.png,dr-stone,103,8
dr-stone/103/9.png,dr-stone,103,9
dr-stone/103/10.png,dr-stone,103,10
dr-stone/103/11.png,dr-stone,103,11
dr-stone/103/12.png,dr-stone,103,12
dr-stone/103/13.png,dr-stone,103,13
dr-stone/103/14.png,dr-stone,103,14
dr-stone/103/15.png,dr-stone,103,15
